n,m,t,partial,serial_happy,serial_percent_served,serial_avg_time,mod_happy,mod_percent_served,mod_avg_time,min_loc_happy,min_loc_percent_served,min_loc_avg_time
500,15,20,False,25.8,0.066,20.0,33.0,0.066,20.0,33.0,0.066,20.0
500,15,30,False,133.73333333333326,0.32,30.0,157.46666666666678,0.32,30.0,157.60000000000008,0.32,30.0
500,15,40,False,245.2000000000001,0.554,40.0,272.2666666666669,0.554,40.0,272.4000000000002,0.554,40.0
500,15,50,False,387.2000000000008,0.876,50.0,407.066666666667,0.876,50.0,417.8000000000003,0.876,50.0
500,15,60,False,491.9333333333338,1.0,56.006,492.8000000000004,1.0,56.202,456.7333333333342,1.0,59.304
500,15,70,False,495.5333333333336,1.0,61.034,495.80000000000024,1.0,60.884,437.93333333333436,1.0,68.668
500,15,80,False,499.93333333333334,1.0,61.446,499.93333333333334,1.0,61.446,410.0000000000005,1.0,77.48
500,15,90,False,500.0,1.0,66.832,500.0,1.0,66.832,425.33333333333445,1.0,87.66
500,10,45,False,235.40000000000023,0.53,45.0,259.6,0.53,45.0,260.1,0.53,45.0
500,20,45,False,442.9999999999991,0.986,45.0,452.7499999999996,0.984,44.957317073170735,462.4499999999993,0.986,45.0
500,30,45,False,491.666666666665,1.0,39.494,491.7666666666654,1.0,39.458,421.19999999999857,1.0,44.74
500,40,45,False,499.2750000000006,1.0,34.772,499.27500000000055,1.0,34.83,443.400000000001,1.0,44.664
500,50,45,False,499.94000000000005,1.0,35.572,499.94000000000005,1.0,35.572,415.24,1.0,44.586
500,60,45,False,500.0,1.0,31.346,500.0,1.0,31.346,428.88333333333304,1.0,44.61
500,70,45,False,499.9571428571428,1.0,29.654,499.9571428571428,1.0,29.654,430.1999999999992,1.0,44.818
500,80,45,False,499.975,1.0,29.292,499.975,1.0,29.292,405.28749999999997,1.0,44.444
500,90,45,False,499.9888888888889,1.0,29.18,499.9888888888889,1.0,29.18,413.577777777777,1.0,44.65
100,15,45,False,100.0,1.0,27.11,100.0,1.0,27.11,77.13333333333333,1.0,41.41
200,15,45,False,199.8,1.0,37.295,199.8,1.0,37.295,177.40000000000015,1.0,44.205
300,15,45,False,295.8666666666669,1.0,41.766666666666666,296.06666666666683,1.0,41.55,278.1333333333337,1.0,44.78333333333333
400,15,45,False,298.20000000000056,0.8525,45.0,321.40000000000015,0.8525,45.0,326.66666666666686,0.8525,45.0
500,15,45,False,362.7333333333344,0.804,45.0,381.73333333333363,0.804,45.0,385.5333333333337,0.804,45.0
600,15,45,False,313.13333333333355,0.5766666666666667,45.0,340.4666666666669,0.5766666666666667,45.0,341.0000000000002,0.5766666666666667,45.0
700,15,45,False,339.33333333333394,0.5442857142857143,45.0,371.3333333333338,0.5442857142857143,45.0,372.86666666666696,0.5442857142857143,45.0
800,15,45,False,283.86666666666684,0.425,45.0,334.8000000000002,0.425,45.0,335.7333333333335,0.425,45.0
900,15,45,False,368.5333333333337,0.4666666666666667,45.0,412.7333333333337,0.4666666666666667,45.0,412.73333333333363,0.4666666666666667,45.0
